	FCBH/DBS	ISO	Language	Year	description	exist_API	exist_BibleIS
382	KLVWBT	klv	Maskelynes	2013	Maskelynes NT	True	True
383	MCFWBT	mcf	Matsés	2008	Matsés NT	False	False
384	MHLPNG	mhl	Mauwake	1998	Mauwake NT	True	True
385	MBLWBT	mbl	Maxakalí	2011	Maxakalí NT	False	False
386	MOPWBT	mop	Mopán Maya	2012	Mopán Maya NT	True	True
387	MAZTBL	maz	Mazahua Central	2007	Central Mazahua NT	True	True
388	MAQTBL	maq	Chiquihuitlán Mazatec	1991	Chiquihuitlán Mazatec NT	True	True
389	MAUWBT	mau	Huautla Mazatec	1960	Huautla Mazatec NT	False	False
390	MAJBTT	maj	Jalapa de Díaz Mazatec	2013	Jalapa de Díaz Mazatec NT	False	False
391	MAASJV	maa	San Jerónimo Tecóatl Mazatec	2013	San Jerónimo Tecóatl Mazatec NT	True	True
392	VMYWBT	vmy	Ayautla Mazatec	2009	NT in Ayautla Mazateco	False	False
393	MQBWBT	mqb	Mbuko	2010	Mbuko NT	True	True
394	MNAPNG	mna	Mbula	1996	Mbula Bible	False	False
395	MEKPNG	mek	Mekeo	1998	Mekeo NT	True	True
396	TPIPNG	tpi	Tok Pisin	1969–2008	Tok Pisin Bible with Deuterocanon	True	True
397	MEDPNG	med	Melpa	1995	Melpa NT	True	True
398	SIMPNG	sim	Mende	2005	Mende NT	True	True
399	MEETBL	mee	Mengen	2003	Mengen NT	True	True
400	MEQWBT	meq	Merey	2012	Merey NT	True	True
401	MICCBS	mic	Micmac	2003	Mi'kmaq NT	False	False
402	MPTTBL	mpt	Mian	1986	Mian NT	False	False
403	MPPWBT	mpp	Migabac	2010-2013	Migabac Bible	False	False
404	MVNJLB	mvn	Minaveha	2008	Minaveha NT	False	False
405	AAIWBT	aai	Arifama-Miniafia	2009	Minaifia NT	True	True
406	KMHMIN	kmh	Kalam	2008	Minimib NT	False	False
407	MPXPNG	mpx	Misima-Paneati	1947, 1997, 2011, 2016, 2018	Misima-Paneati Bible	True	True
408	MCOTBL	mco	Coatlán Mixe	1976	Coatlán Mixe NT	True	True
409	MIRTBL	mir	Isthmus Mixe	1988	Isthmus Mixe NT	True	True
410	MXQTBL	mxq	Juquila Mixe	2009	Juquila Mixe NT	True	True
411	MXPWBT	mxp	Tlahuitoltepec Mixe	1987	Tlahuitoltepec Mixe NT	False	False
412	MTOWBT	mto	Totontepec Mixe	1989	Totontepec Mixe NT	False	False
413	MIBWBT	mib	Atatláhuca Mixtec	1973	Atatláhuca Mixtec	False	False
414	MIHWBT	mih	Chayuco Mixtec	1979	Chayuco Mixtec NT	False	False
415	MIZTBL	miz	Coatzospan Mixtec	2003	Coatzospan Mixtec NT	True	True
416	XTDTBL	xtd	Diuxi-Tilantongo Mixtec	2001	Diuxi-tilantongo Mixtec NT	True	True
417	MXTTBL	mxt	Jamiltepec Mixtec	1983	Jamiltepec Mixtec NT	True	True
418	XTMWBT	xtm	Magdalena Peñasco Mixtec	2013	Magdalena Peñasco Mixtec Bible	False	False
419	MIETBL	mie	Ocotepec Mixtec	1977	Ocotepec Mixtec	True	True
420	MILTBL	mil	Peñoles Mixtec	2002	Peñoles Mixtec NT	True	True
421	MIOWBT	mio	Pinotepa Nacional Mixtec	1980	Pinotepa Nacional Mixtec NT	True	True
422	MJCWBT	mjc	San Juan Colorado Mixtec	1994	San Juan Colorado Mixtec NT	False	False
423	MIGWBT	mig	San Miguel el Grande Mixtec	1951	San Miguel el Grande Mixtec NT	False	False
424	MKSTBL	mks	Silacayoapan Mixtec	2009	Silacayoapan Mixtec NT	True	True
425	MITTBL	mit	Southern Puebla Mixtec	1978	Southern Puebla Mixtec NT	True	True
426	MXBMVR	mxb	Tezoatlán Mixtec	2006	Tezoatlán Mixtec NT	True	True
427	MPMTBL	mpm	Yosondúa Mixtec	1988	Yosondúa Mixtec NT	True	True
428	SOYSIM	soy	Miyobe	2010	Sola NT	True	True
429	MKLSIM	mkl	Mokole	2006	Monkole NT	True	True
430	MOXFNS	mox	Molima	2010	Molima NT	False	False
431	MGCPBT	mgc	Morokodo	2010	Morokodo Bible Portions	False	False
432	MEUPNG	meu	Motu	1959-1973	Motu Bible	True	True
433	HMOPNG	hmo	Hiri Motu	1964, 1982, 1994	Hiri Motu Bible	True	True
434	AOJTBL	aoj	Mufian	1998	Mufian NT	False	False
435	BMRWBT	bmr	Muinane	2009	Muinane NT	True	True
436	MYUWBT	myu	Mundurukú	2010	Mundurukú NT	False	False
437	EMIWBT	emi	Mussau-Emira	2006, 2008, 2013, 2016, 2018	Mussau-Emira Bible	False	False
438	TUCOOV	tuc	Mutu	2011	Saveeng Oov Bible	True	True
439	TUCTUA	tuc	Mutu	2011	Saveeng Tuam Bible	False	False
440	MUYWBT	muy	Muyang	2013	Muyang NT	True	True
441	MYWPNG	myw	Muyuw	1976, 1993	Muyuw NT	True	True
442	WMWWBT	wmw	Mwani	2013	Mwani NT	False	False
443	NASPNG	nas	Naasioi	1994	Naasioi NT	True	True
444	NAFTBL	naf	Nabak	1988	Nabak NT	False	False
445	MBJWBT	mbj	Nadëb	2011	Nadëb NT	False	False
446	TNKWBT	tnk	Kwamera	2013	Kwamera NT	True	True
447	NHWTBL	nhw	Western Huasteca Nahuatl	2005	Huasteca Occidental Nahuatl Bible	True	True
448	NHEWBT	nhe	Eastern Huasteca Nahuatl	2009	Huasteca Oriental Nahuatl NT 2009	False	False
449	NGUTBL	ngu	Guerrero Nahuatl	1987	Guerrero Nahuatl NT	True	True
450	AZZTBL	azz	Highland Puebla Nahuatl	1975	Highland Puebla Nahuatl NT	True	True
451	NCHTBL	nch	Central Huasteca Nahuatl	2005	Huasteca Central Nahuatl Bible	True	True
452	NHETBL	nhe	Eastern Huasteca Nahuatl	2005	Huasteca Oriental Nahuatl Bible 2005	True	True
453	NCLTBL	ncl	Michoacán Nahuatl	1998	Michoacán Nahuatl NT	False	False
454	NHYTBL	nhy	Northern Oaxaca Nahuatl	2006	Northern Oaxaca Nahuatl NT	True	True
455	NCJTBL	ncj	Northern Puebla Nahuatl	1979	Northern Puebla Nahuatl NT	True	True
456	NPLWYI	npl	Nahuatl, Southeastern Puebla	2011	Southeastern Puebla Nahuatl NT	True	True
457	NHGWBT	nhg	Tetelcingo Nahuatl	1980	Tetelcingo Nahuatl NT	False	False
458	NHIWBT	nhi	Tenango Nahuatl	2012	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl NT	True	True
459	NAKTBL	nak	Nakanai	1983	Nakanai NT	True	True
460	NSSWBT	nss	Nali	2008, 2012	Nali Genesis and Mark	False	False
461	NABWBT	nab	Southern Nambikuára	2012	Southern Nambikuára NT	False	False
462	NVMWBT	nvm	Namiae	2004	Namiai NT	True	True
463	NHRBSB	nhr	Naro	2012	Naro NT	False	False
464	NATWBT	ntu	Natügu	2008	Natqgu NT+Ruth and Psalms	False	False
465	NDJTWF	ndj	Ndamba	2014	Ndamba New Testament	False	False
466	NSNWBT	nsn	Nehan	2011	Nehan NT	True	True
467	NIFWBT	nif	Nek	2011	Nek NT	False	False
468	GYMWBT	gym	Ngäbere	2004	Ngäbere NT	True	True
469	GNGWYI	gng	Ngangam	2011	Ngangam NT	True	True
470	NBQWBT	nbq	Nggem	2003, 2004, 2007, 2008, 2013	Nggem NT	False	False
471	NNQTWF	nnq	Ngindo	2015	Ngindo New Testament	False	False
472	NGPTWF	ngp	Ngulu	2014	Nguu New Testament	False	False
473	NIITBL	nii	Nii	1980	Nii NT	False	False
474	NINWBT	nin	Ninzo	2011	Ninzo NT	False	False
475	NKOWBT	nko	Nkonya	2010	Nkonya NT	True	True
476	GAWWBT	gaw	Nobonob	1990	Nobnob NT	True	True
477	NOTWBT	not	Nomatsiguenga	2008	Nomatsiguenga NT	False	False
478	NHUWBT	nhu	Noone	2011	Noone NT	True	True
479	TBGNOR	tbg	North Tairora	1986	North Tairora Arau Bible	False	False
480	TNNWBT	tnn	North Tanna	2010	North Tanna NT	True	True
481	ESKWBT	esk	Northwest Alaska Inupiatun	2010	Northwest Alaska Eskimo NT	True	True
482	KLTWBT	klt	Nukna	2013, 2017	Nukna Bible	False	False
483	NOPNTT	nop	Numanggang	2005	Numanggang Bible	False	False
484	LIDWBT	lid	Nyindrou	2001	Nyndrou NT + OT portions	True	True
485	NYUWBT	nyu	Nyungwe	1897, 2010	Nyungwe NT	False	False
486	KKCWBT	kkc	Odoodee	2006, 2015	Odoodee NT	False	False
487	ERIWBT	eri	Ogea	2013	Ogea NT	False	False
488	OPMTBL	opm	Oksapmin	1992	Oksapmin NT	True	True
489	ONGTBL	ong	Olo	1997	Olo NT	False	False
490	AOMTBL	aom	Ömie	1991	Omie NT	False	False
491	OMWVEQ	omw	South Tairora	2012	South Tairora Veqaura NT	False	False
492	ONSPNG	ons	Ono	1991	Ono NT	False	False
493	ORYIRV	ory	Oriya	2017	Oriya Indian Revised Version Bible	False	False
494	OKVTBL	okv	Orokaiva	1988	Orokaiva Etija NT	False	False
495	OTMWBT	otm	Eastern Highland Otomi	1974	Eastern Highland Otomi NT	False	False
496	OTSWBT	ots	Estado de México Otomi	1975	Estado de México Otomi NT	False	False
497	OTETBL	ote	Mezquital Otomi	2008	Mezquital Otomi NT	True	True
498	OTQTBL	otq	Querétaro Otomi	2009	Querétaro Otomi NT	True	True
499	OTNWBT	otn	Tenango Otomi	1975	Tenango Otomi NT	False	False
500	PMAWBT	pma	Paama	2011	Paama Bible	False	False
501	PRIWBT	pri	Paicî	2012	Paicî NT	False	False
502	PAONAB	pao	Northern Paiute	2012	Northern Paiute NT	True	True
503	PLUWBT	plu	Palikúr	1982	Palikúr NT	False	False
504	PANIRV	pan	Eastern Panjabi	2017	Punjabi Indian Revised Version Bible	False	False
505	PRFWBT	prf	Paranan	2012	Paranan NT	True	True
506	PABTBL	pab	Parecís	2012	Parecís NT	True	True
507	PTPTBL	ptp	Patep	1986	Patep NT	False	False
508	GFKTBL	gfk	Patpatar	1997	Patpatar NT	True	True
509	PADWBT	pad	Paumarí	2010	Paumarí NT	False	False
510	ATAPNG	ata	Pele-Ata	2009	Ata Bible	True	True
511	PIOWBT	pio	Piapoco	2009	Piapoco NT	False	False
512	PIRWBT	pir	Piratapuyo	2011	Piratapuyo NT	True	True
513	POYPBT	poy	Pogolo	2014	Pogolo NT	True	True
514	PONSSP	pon	Pohnpeian	2006	Pohnpeian Bible with Apocrypha 2006	False	False
515	POLUBG	pol	Polish	2018	Polish Updated Gdansk Bible	False	False
516	POETBL	poe	San Juan Atzingo Popoloca	1982	San Juan Atzingo Popoloca NT	False	False
517	PLSWBT	pls	San Marcos Tlalcoyalco Popoloca	1982	San Marcos Tlalcoyalco Popoloca NT	False	False
518	POIWBT	poi	Highland Popoluca	2009	Highland Popoluca NT	False	False
519	POHBSG	poh	Eastern Pokomchí	2012	Poqomchi' Occidental NT	True	True
520	PORTFT	por	Portuguese	2018	Portuguese Translation for Translators	False	False
521	FUFPBT	fuf	Pular	2010	Pular Fuuta-Jallon New Testament	True	True
522	KEKIBS	kek	Kekchí	2000	Q'eqchi' Bible	True	True
523	BYXPNG	byx	Qaqet	1996	Qaqet Bible	False	False
524	QVCTBL	qvc	Cajamarca Quechua	2008	Cajamarca Quechua NT	True	True
525	QVETBL	qve	Eastern Apurímac Quechua	2013	Eastern Apurímac Quechua NT	True	True
526	QUBWBT	qub	Huallaga Huánuco Quechua	2011	Huallaga Huánuco Quechua NT	False	False
527	QVHWBT	qvh	Huamalíes-Dos de Mayo Huánuco Quechua	2008	Huamalíes-Dos de Mayo Huánuco Quechua NT	False	False
528	QWHLLB	qwh	Huaylas Ancash Quechua	2008	Huaylas Ancash Quechua NT	True	True
529	QVWWBT	qvw	Huaylla Wanca Quechua	2010	Huaylla Wanca Quechua NT	False	False
530	QUFLLB	quf	Lambayeque Quechua	2008	Lambayeque Quechua NT	True	True
531	QVMTBL	qvm	Margos-Yarowilca-Lauricocha Quechua	2008	Margos-Yarowilca-Lauricocha Quechua NT	True	True
532	QULSBB	qul	North Bolivian Quechua	1985	North Bolivian Quechua NT	True	True
533	QVNLLB	qvn	North Junín Quechua	2008	North Junín Quechua NT	True	True
534	QXNWBT	qxn	Northern Conchucos Ancash Quechua	2002	Northern Conchucos Ancash Quechua NT	True	True
535	QXHWBT	qxh	Panao Huánuco Quechua	2009	Panao Huánuco Quechua NT	True	True
536	QVSTBL	qvs	San Martín Quechua	2008	San Martín Quechua NT	True	True
537	QUHSBB	quh	South Bolivian Quechua	2011	South Bolivian Quechua NT	True	True
538	QXOWBT	qxo	Southern Conchucos Ancash Quechua	2002	Southern Conchucos Ancash Quechua NT	False	False
539	QUPWBT	qup	Southern Pastaza Quechua	2008	Southern Pastaza Quechua NT	False	False
540	QVZWBT	qvz	Northern Pastaza Quichua	2009	Northern Pastaza Quichua NT	True	True
541	RAITBL	rai	Ramoaaina	2006	Ramoaaina NT	True	True
542	RWOKAR	rwo	Rawa	2001	Rawa Karo NT	False	False
543	RWORAW	rwo	Rawa	1992	Rawa NT	False	False
544	NMWSWB	nmw	Nimoa	2016	Saisai Matthew and Ephesians	False	False
545	RKBWBT	rkb	Rikbaktsa	2011	Rikbaktsa NT	False	False
546	RGUUBB	rgu	Ringgou	2004	Rote Rikou Bible	False	False
547	RMYARL	rmy	Vlax Romani	2018	Arli Luke	False	False
548	RMYCHE	rmy	Vlax Romani	2018	Chergash Luke	False	False
549	RMYGUR	rmy	Vlax Romani	2018	Gurbet Luke	False	False
550	ROOTBL	roo	Rotokas	1982	Rotokas NT	False	False
551	RUGWBT	rug	Roviana	2016	Roviana Bible	True	True
552	APBWBT	apb	Sa'a	2005	Sa'a New Testament	False	False
553	SPYWBT	spy	Sabaot	2011	Sabaot NT	True	True
554	APZPNG	apz	Safeyoka	1988	Ampeeli-Wojokeso NT+Genesis	False	False
555	ACFWBT	acf	Saint Lucian Creole French	1999	Saint Lucian Creole French NT	False	False
556	SBEWBT	sbe	Saliba	2007, 2013, 2017	Saliba half NT	False	False
557	SLLTBL	sll	Salt-Yui	1978	Salt-Yui NT	True	True
558	CUKNVS	cuk	San Blas Kuna	2014	San Blas Kuna Bible	True	True
559	SNYTBL	sny	Saniyo-Hiyewe	2004	Saniyo-Hiyewe NT	False	False
560	MSCPBT	msc	Sankaran Maninka	2015	Sankaran Maninka Bible Portions	False	False
561	SPSTBL	sps	Saposa	2001	Saposa NT	False	False
562	SRMWBT	srm	Saramaccan	2009	Saramaccan NT	True	True
563	MAVWBT	mav	Sateré-Mawé	2011	Sateré-Mawé NT	False	False
564	GULWBT	gul	Sea Island Creole English	2005	Sea Island Creole English NT	False	False
565	SEYWBT	sey	Secoya	2012	Secoya NT	True	True
566	SSGWBT	ssg	Seimat	2012	Seimat NT	True	True
567	SPLPNG	spl	Selepet	1986	Selepet NT	False	False
568	SSXPNG	ssx	Samberigi	1991	Sembeleke Bible	True	True
569	SEHWBT	seh	Sena	1983	Sena NT	False	False
570	MYKWBT	myk	Mamara Senoufo	2014	Mamara Sénoufo NT and portions of the OT	True	True
571	SPPWBT	spp	Supyire Senoufo	2008	Supyire Sénoufo NT	False	False
572	MCDWBT	mcd	Sharanahua	2008	Sharanahua NT	False	False
573	SHPTBL	shp	Shipibo-Conibo	2012	Shipibo-Conibo Bible	True	True
574	JIVAIE	jiv	Shuar	2012	New Testament in Shuar	True	True
575	SNPKOM	snp	Siane	1991	Siane Komongu NT	False	False
576	SNPLAM	snp	Siane	1997	Siane Lambau NT	False	False
577	SNCPNG	snc	Sinaugoro	1995	Sinaugoro NT	True	True
578	XSITBL	xsi	Sio	1995	Sio NT & Psalms	False	False
579	SNNWBT	snn	Siona	2009	Siona NT	True	True
580	SRIWBT	sri	Siriano	2009	Siriano NT	True	True
581	SRIWBT	srq	Sirionó	1977	Sirionó NT	True	True
582	SSDWBT	ssd	Siroi	1975, 1999	Siroi Bible	True	True
583	SOMSIM	som	Somali	1979, 2008	Somali Bible	True	True
584	BMUPNG	bmu	Burum-Mindik	1992, 2002	Somba-Siawari Bible	True	True
585	URWPBT	urw	Sop	2007, 2015	Sop Jonah and Luke	False	False
586	OMWAAT	omw	South Tairora	2012	South Tairora Aatasara John & Mark	False	False
587	NWIWBT	nwi	Southwest Tanna	2011	Southwest Tanna NT	True	True
588	BESLAT	spa	Spanish	2018	La Biblia en Español Sencillo	False	False
589	SPNVBL	spa	Spanish	2018	Spanish Free Bible Version NT	False	False
590	SRNBSS	srn	Sranan	2002	Sranan NT	True	True
591	SWPPNG	swp	Suau	1998	Suau Bible	True	True
592	SXBWBT	sxb	Suba	2010	Suba NT	False	False
593	TGOWBT	tgo	Sudest	2014	Sudest NT	False	False
594	SUEWBT	sue	Suena	1978, 2011	Suena NT	True	True
595	SUKTBL	sua	Sulka	1997	Sulka NT	True	True
596	SUZWBT	suz	Sunwar	2011	Sunwar Bible	True	True
597	SGZWBT	sgz	Sursurunga	2009	Sursurunga NT	True	True
598	SUSPBT	sus	Susu	2015	Susu Bible	True	True
599	SUSAPB	sus	Susu	2015	Susu Bible (Arabic script)	False	False
600	KNVARA	knv	Tabo	2006	Tabo Aramia NT	False	False
601	KNVPNG	knv	Tabo	2006	Tabo Fly River NT	True	True
602	TNAWBT	tna	Tacana	2009	Tacana NT	False	False
603	BGSWBT	bgs	Tagabawa	2004	Tagabawa Bible	False	False
604	TAWPBT	taw	Tai	2013	Tai NT	False	False
605	TBGWBT	tbg	North Tairora	1979, 1994, 2005, 2008, 2009	North Tairora NT	False	False
606	OMWSTA	omw	South Tairora	2000	South Tairora NT	False	False
607	TGKIBT	tgk	Tajiki	2010, 2014	Tajik Bible	True	True
608	TBCPNG	tbc	Takia	1999	Takia NT	True	True
609	NHOTCT	nho	Takuu	2009	Takuu NT	True	True
610	TKEWBT	tke	Takwane	2007-2009	Takwane NT	False	False
611	TAJWBT	taj	Eastern Tamang	2011	Eastern Tamang NT	True	True
612	TAMIRV	tam	Tamil	2017	Tamil Indian Revised Version Bible	False	False
613	TGPWBT	tgp	Tangoa	2010	Tangoa NT	True	True
614	TNCWBT	tnc	Tanimuca-Retuarã	2013	Tanimuca-Retuarã NT portions	False	False
615	TACWBT	tac	Lowland Tarahumara	2008	Western Tarahumara NT	False	False
616	TAVWBT	tav	Tatuyo	2009	Tatuyo NT	True	True
617	TPAWBT	tpa	Taupota	2010	Taupota Mark	False	False
618	TBOWBT	tbo	Tawala	1985, 2014	Tawala NT	True	True
619	TBLWBT	tbl	Tboli	2007	Tboli NT	False	False
620	TTCWBT	ttc	Tektiteko	2003	Tektiteko NT	True	True
621	TLFTBL	tlf	Telefol	1988	Telefol NT	False	False
622	TELIRV	tel	Telugu	2017	Telugu Indian Revised Version Bible	False	False
623	PAHTBL	pah	Tenharim	1996	Tenharim NT	True	True
624	TEETBL	tee	Huehuetla Tepehua	1976	Huehuetla Tepehua NT	True	True
625	TPTWBT	tpt	Tlachichilco Tepehua	2004	Tlachichilco Tepehua NT	False	False
626	NTPTBL	ntp	Northern Tepehuan	1981	Northern Tepehuan NT	True	True
627	STPTBL	stp	Southeastern Tepehuan	2007	Southeastern Tepehuan NT	True	True
628	TERTBL	ter	Terêna	2012	Terêna NT	True	True
629	TFRWBT	tfr	Teribe	2008	Teribe Bible	True	True
630	TETUBB	tet	Tetun	2013	Tetun Bible	False	False
631	TEWWBT	tew	Tewa	2012	Tewa NT	False	False
632	THAKJV	tha	Thai	2003	Thai KJV Bible	True	True
633	TCATBL	tca	Ticuna	2008	Ticuna NT	True	True
634	TIFWBT	tif	Tifal	1998	Tifal NT	False	False
635	TXQUBB	txq	Tii	2004-2011	Rote Tii Bible	False	False
636	TIMTBL	tim	Timbe	1987	Timbe NT	False	False
637	TPZWBT	tpz	Tinputz	2004	Tinputz Vasui NT	True	True
638	TIYWBT	tiy	Tiruray	2002	Tiruray NT	False	False
639	OODWBT	ood	Tohono O'odham	2010	Tohono O'odham NT	False	False
640	TOJWBT	toj	Tojolabal	1972	Tojolabal NT	False	False
641	JICWBT	jic	Tol	2010	Tol NT	True	True
642	TODPBT	tod	Toma	2013	Toma Bible Portions	False	False
643	TOCTBL	toc	Coyutla Totonac	2006	Coyutla Totonac NT	True	True
644	TOSTBL	tos	Highland Totonac	2009	Highland Totonac NT	True	True
645	TOPWBT	top	Papantla Totonac	1979	Papantla Totonac NT	False	False
646	TKUWBT	tku	Totonac, Upper Necaxa	1999	Upper Necaxa Totonac	False	False
647	TOOWBT	too	Xicotepec de Juárez Totonac	1978	Xicotepec De Juárez Totonac NT	False	False
648	TRCTBL	trc	Copala Triqui	1987	Copala Triqui NT	False	False
649	KDLWBT	kdl	Tsikimba	2010	Tsikimba NT	False	False
650	TSWWBT	tsw	Tsishingini	2011	Tsishingini NT	False	False
651	TUOWBT	tuo	Tucano	2009	Tucano NT	True	True
652	IOUTBL	iou	Tuma-Irumu	1997, 2011	Tuma-Irumu Bible	False	False
653	TUFWBT	tuf	Central Tunebo	2011	Central Tunebo NT	False	False
654	LCMPNG	lcm	Tungag	1998, 2011	Tungag Bible	True	True
655	TUEWBT	tue	Tuyuca	2011	Tuyuca NT	True	True
656	TZJEAS	tzj	Eastern Tzutujil	2010	Eastern Tz'utujil NT	False	False
657	TZJWES	tzj	Eastern Tzutujil	2010	Western Tz'utujil NT	False	False
658	TZOTZC	tzo	Venustiano Carranza Tzotzil	1979, 1988, 2009	Tzotzil de Chamula NT	False	False
659	TZOTZE	tzo	Venustiano Carranza Tzotzil	1981	Tzotzil de Chenalhó NT	False	False
660	TZOHUI	tzo	Venustiano Carranza Tzotzil	1995	Tzotzil Huixtan NT	False	False
661	TZOSAN	tzo	Venustiano Carranza Tzotzil	1983	Tzotzil San Andres NT	False	False
662	TZOZIN	tzo	Venustiano Carranza Tzotzil	2009	Tzotzil Zinacantan NT	False	False
663	KSJWBT	ksj	Uare	2017	Uare NT	False	False
664	UBRTBL	ubr	Ubir	1997, 2011	Ubir Bible	True	True
665	UDUSIM	udu	Uduk	2005	Uduk Bible	True	True
666	ULIBSM	uli	Ulithian	1995	Ulithian NT	False	False
667	GDNPNG	gdn	Umanakaina	1999	Umanakaina NT	True	True
668	UBUAND	ubu	Umbu-Ungu	1998	Umbu-Ungu Andelale NT	True	True
669	UBUKAL	ubu	Umbu-Ungu	1995	Umbu-Ungu Kala NT	False	False
670	UBUNOP	ubu	Umbu-Ungu	1995	Umbu-Ungu No Penge NT	False	False
671	URATBL	ura	Urarina	2008	Urarina NT	True	True
672	URTWBT	urt	Urat	2016	Urat New Testament	False	False
673	URDBCS	urd	Urdu	2017	Urdu Bible	False	False
674	WNUPNG	wnu	Usan	2001	Usan NT	True	True
675	USAWBT	usa	Usarufa	1980	Usarufa Bible	True	True
676	USPWBT	usp	Uspanteco	2010	Uspanteko NT	True	True
677	VIDPBT	vid	Vidunda	2014	Vidunda NT	True	True
678	WAJWBT	waj	Waffa	1975	Waffa NT	True	True
679	RROPNG	rro	Waima	2002	Waima NT	True	True
680	BAOWBT	bao	Waimaha	2010	Waimaha NT	True	True
681	LGLWBT	lgl	Wala	2008	Wala New Testament	False	False
682	WNCPNG	wnc	Wantoat	1975, 2001	Wantoat NT	True	True
683	AUCWBT	auc	Waorani	2009	Waorani NT	False	False
684	WAPWBT	wap	Wapishana	2012	Wapishana NT	False	False
685	WRSPNG	wrs	Waris	2002	Waris Bible	True	True
686	WSKPNG	wsk	Waskia	1985, 2011, 2014	Waskia Bible	True	True
687	WEDWBT	wed	Wedau	2010	Wedau Mark	False	False
688	WEDTOP	wed	Wedau	2010	Wedau Topura Mark	False	False
689	WERTBL	wer	Weri	1984	Weri NT	False	False
690	KEWPNG	kew	West Kewa	2003	West Kewa Bible	True	True
691	TNPWBT	tnp	Whitesands	2014	Whitesands NT	False	False
692	GDRPNG	gdr	Wipi	2001	Wipi NT	True	True
693	WIUTBL	wiu	Wiru	1990, 1992	Witu NT	False	False
694	WALSIM	wal	Wolaytta	2004	Wolaytta Bible	True	True
695	ABTWOS	abt	Ambulas	1996	Ambulas Wosera NT	False	False
696	NOAWBE	noa	Woun Meu	2011	Woun Meu NT	False	False
697	NOAWBT	noa	Woun Meu	2011	Woun Meu NT	True	True
698	WUVWBT	wuv	Wuvulu-Aua	2004	Wuvalu-Aua NT	True	True
699	XAVTBL	xav	Xavánte	2004	Xavánte NT	True	True
700	JAEPNG	jae	Yabem	1980	Yabem Bible	True	True
701	YADTBL	yad	Yagua	2008	Yagua NT	True	True
702	YKAWBT	yka	Yakan	1984	Yakan Bible	False	False
703	KKLWBT	kkl	Kosarek Yale	2015	Mek Kosarek Bible	False	False
704	YALPBT	yal	Yalunka	2012	Yalunka Bible	True	True
705	YAATBL	yaa	Yaminahua	2008	Yaminahua NT	True	True
706	AMETBL	ame	Yanesha'	2008	Yanesha' NT	True	True
707	YREWBT	yre	Yaouré	1999	Yaouré NT	False	False
708	YAPBSM	yap	Yapese	2007	Yapese Bible	False	False
709	YAQTBL	yaq	Yaqui	2003	Yaqui NT	True	True
710	YUWPNG	yuw	Yau	1997	Yau NT	True	True
711	YVATBL	yva	Yawa	2011	Yawa NT	True	True
712	YBYWBT	yby	Yaweyuha	1983, 2011	Yaweyuha NT	True	True
713	YLETBL	yle	Yele		Rossel NT	False	False
714	YSSYAM	yss	Yessan-Mayo	1980, 2004	Yessan-Mayo Yamano NT	False	False
715	YSSYAW	yss	Yessan-Mayo	1996	Yessan-Mayo Yawu NT	False	False
716	PIBWBT	pib	Yine	2008	Yine NT	True	True
717	BYRWAG	byr	Baruya	2011	Yipma Wagamwa NT	False	False
718	YUTWBT	yut	Yopno	2010	Yopno NT & Psalms	True	True
719	YCNWBT	ycn	Yucuna	2011	Yucuna NT	True	True
720	ATBWBT	atb	Zaiwa	2009	Zaiwa NT	False	False
721	ZPOTBL	zpo	Amatlán Zapotec	2009	Amatlán Zapotec NT	True	True
722	ZADWBT	zad	Cajonos Zapotec	2011	Cajonos Zapotec NT	False	False
723	ZPVTBL	zpv	Chichicapan Zapotec	1990	Chichicapan Zapotec NT	False	False
724	ZPCWBT	zpc	Choapan Zapotec	1986	Choapan Zapotec NT	False	False
725	ZCAWYI	zca	Coatecas Altas Zapotec	2013	Coatecas Altas Zapotec	True	True
726	ZAITBL	zai	Isthmus Zapotec	1988	Isthmus Zapotec NT	True	True
727	ZPLTBL	zpl	Lachixío Zapotec	2010	Lachixío Zapotec NT	True	True
728	ZAMILM	zam	Miahuatlán Zapotec	1971	Miahuatlán Zapotec NT	True	True
729	ZAWMVR	zaw	Mitla Zapotec	2006	Mitla Zapotec NT	True	True
730	ZPMTBL	zpm	Mixtepec Zapotec	1998	Mixtepec Zapotec NT	True	True
731	ZACSIM	zac	Ocotlán Zapotec	1983	Ocotlán Zapotec	True	True
732	ZAOTBL	zao	Ozolotepec Zapotec	2007	Ozolotepec Zapotec NT	True	True
733	ZTQTBL	ztq	Quioquitani-Quierí Zapotec	2009	Quioquitani-Quierí Zapotec NT	True	False
734	ZARTBL	zar	Rincón Zapotec	2009	Rincón Zapotec NT	True	True
735	ZABTBL	zab	San Juan Guelavía Zapotec	1995	San Juan Guelavía Zapotec	True	True
736	ZPIWYI	zap	Zapotec, Santa María Quiegolani	2010	Santa María Quiegolani Zapotec NT	True	True
737	ZASWYI	zas	Santo Domingo Albarradas Zapotec	2010	Santo Domingo Albarradas Zapotec NT	True	True
738	ZAATBL	zaa	Sierra de Juárez Zapotec	1970	Sierra de Juárez Zapotec NT	True	True
739	ZSRWBT	zsr	Southern Rincon Zapotec	1992	Southern Rincon Zapotec NT	False	False
740	ZATWBT	zat	Tabaa Zapotec	1981	Tabaa Zapotec NT & Psalms	False	False
741	ZPZTBL	zpz	Texmelucan Zapotec	2004	Texmelucan Zapotec Bible	True	True
